Ecke Verbinder 135°;AFB;A03;V-135-360;R999;Verbinder VHG 135°   360-400 mm;75.3;St;                                                            
Vario - Halter m. Schiebewinkel;AFB;A04;Vario01;;Vario - Halter m. Schiebewinkel Gr. 1;11.25;St;                                                        
Vario - Halter m. Schiebewinkel;AFB;A04;Vario02;;Vario - Halter m. Schiebewinkel Gr. 2;11.25;St;                                                        
Vario - Halter m. Schiebewinkel;AFB;A04;Vario03;;Vario - Halter m. Schiebewinkel Gr. 3;13.34;St;                                                       
Fensterbankschrauben;AFB;A05;FBS01;;Fensterbankschrauben TX 20 NS V2A;24.71;St;                                                                  
Fensterbankschrauben;AFB;A05;FBS02;;Fensterbankschrauben TX 20 V2A;24.71;St;                                                                        
Fensterbankschrauben;AFB;A05;FBS03;;Fensterbankschrauben TX 20 V2A brüniert;24.71;St;                                                      
Fensterbank-Zubehör;AFB;A06;ELOX160;C33;Eloxalspray - 160 ml (C33);64.71;St;                                                                         
Fensterbank-Zubehör;AFB;A06;ELOX160;C34;Eloxalspray - 160 ml (C33);64.71;St;                                                                         
Fensterbank-Zubehör;AFB;A06;ELOX160;EV1;Eloxalspray - 160 ml (C33);64.71;St;                                                                         
Fensterbank-Zubehör;AFB;A06;FBDicht;SW;Fensterbankdichtung;3.63;m;                                                                                           
Fensterbank-Zubehör;AFB;A06;FBDicht;WE;Fensterbankdichtung;3.63;m;                                                                                           
Fensterbank-Zubehör;AFB;A06;Gehrungsschnitt 4;;Fensterbank Gehrungsschnitt 45°;3.5;St;                                                       
Antidröhn;AFB;A07;AD01;;Antidröhn 50 x 1000 geklebt;3.4;m;                                                                                     
Antidröhn;AFB;A07;AD02;;Antidröhn 50 x 1000 lose;1.63;m;                                                                                          
Antidröhn;AFB;A07;AD03;;Antidröhn 80 x 1000 geklebt;4.45;m;                                                                                    
Antidröhn;AFB;A07;AD04;;Antidröhn 80 x 1000 lose;2.68;m;                                                                                         
Kunststoff Seitenteil;AFB;A08;KST050;BR;Kunststoff - Seitenteil KF-400  50-130 mm;3.07;St;                                                
Kunststoff Seitenteil;AFB;A08;KST050;WE;Kunststoff - Seitenteil KF-400  50-130 mm;3.07;St;                                                
Kunststoff Seitenteil;AFB;A08;KST150;BR;Kunststoff - Seitenteil KF-400  150-180 mm;3.63;St;                                              
Kunststoff Seitenteil;AFB;A08;KST150;WE;Kunststoff - Seitenteil KF-400  150-180 mm;3.63;St;                                              
Kunststoff Seitenteil;AFB;A08;KST195;BR;Kunststoff - Seitenteil KF-400  195-260 mm;4.32;St;                                              
Kunststoff Seitenteil;AFB;A08;KST195;WE;Kunststoff - Seitenteil KF-400  195-260 mm;4.32;St;                                              
Kunststoff Seitenteil;AFB;A08;KST280;BR;Kunststoff - Seitenteil KF-400  280-360 mm;5.16;St;                                              
Kunststoff Seitenteil;AFB;A08;KST280;WE;Kunststoff - Seitenteil KF-400  280-360 mm;5.16;St;                                              
Kunststoff Seitenteil;AFB;A08;KST380;BR;Kunststoff - Seitenteil KF-400  380-400 mm;5.36;St;                                              
Kunststoff Seitenteil;AFB;A08;KST380;WE;Kunststoff - Seitenteil KF-400  380-400 mm;5.36;St;                                              
Verbinder VH für FB40;AFB;A11;VVH050;;Verbinder VH für FB40  50-130 mm;8.76;St;                                                                    
Verbinder VH für FB40;AFB;A11;VVH050;9016;Verbinder VH für FB40  50-130 mm;15.39;St;                                                               
Verbinder VH für FB40;AFB;A11;VVH050;DB;Verbinder VH für FB40  50-130 mm;15.39;St;                                                                 
Verbinder VH für FB40;AFB;A11;VVH050;EV1;Verbinder VH für FB40  50-130 mm;10.52;St;                                                                
Verbinder VH für FB40;AFB;A11;VVH050;MB;Verbinder VH für FB40  50-130 mm;15.39;St;                                                                 
Verbinder VH für FB40;AFB;A11;VVH050;R999;Verbinder VH für FB40  50-130 mm;23.09;St;                                                               
Verbinder VH für FB40;AFB;A11;VVH150;;Verbinder VH für FB40  150-130 mm;11.27;St;                                                                 
Verbinder VH für FB40;AFB;A11;VVH150;9016;Verbinder VH für FB40  150-130 mm;18.73;St;                                                             
Verbinder VH für FB40;AFB;A11;VVH150;DB;Verbinder VH für FB40  150-130 mm;18.73;St;                                                               
Verbinder VH für FB40;AFB;A11;VVH150;EV1;Verbinder VH für FB40  150-130 mm;14.22;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH150;MB;Verbinder VH für FB40  150-130 mm;18.73;St;                                                               
Verbinder VH für FB40;AFB;A11;VVH150;R999;Verbinder VH für FB40  150-130 mm;28.1;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH195;;Verbinder VH für FB40  195-340 mm;14.41;St;                                                                 
Verbinder VH für FB40;AFB;A11;VVH195;9016;Verbinder VH für FB40  195-340 mm;21.5;St;                                                                
Verbinder VH für FB40;AFB;A11;VVH195;DB;Verbinder VH für FB40  195-340 mm;21.5;St;                                                                  
Verbinder VH für FB40;AFB;A11;VVH195;EV1;Verbinder VH für FB40  195-340 mm;18.37;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH195;MB;Verbinder VH für FB40  195-340 mm;21.5;St;                                                                  
Verbinder VH für FB40;AFB;A11;VVH195;R999;Verbinder VH für FB40  195-340 mm;32.25;St;                                                             
Verbinder VH für FB40;AFB;A11;VVH360;;Verbinder VH für FB40  360-400 mm;18.73;St;                                                                 
Verbinder VH für FB40;AFB;A11;VVH360;9016;Verbinder VH für FB40  360-400 mm;27.98;St;                                                            
Verbinder VH für FB40;AFB;A11;VVH360;DB;Verbinder VH für FB40  360-400 mm;27.98;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH360;EV1;Verbinder VH für FB40  360-400 mm;23.92;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH360;MB;Verbinder VH für FB40  360-400 mm;27.98;St;                                                              
Verbinder VH für FB40;AFB;A11;VVH360;R999;Verbinder VH für FB40  360-400 mm;41.97;St;                                                            
