1st+1so;Standart+Sonder;45
FZ020;FZ020;20
FZ021;FZ021;21
FZ025;Sonderf.aussen1S PVC;25
FZ040;FZ040;40
FZ050;Sonderf. 2seitig PVC;50
FZ070;Sonderfarb. 2seitig;70
FZA050;Sonderf.innen1S PVC;50
FZX00;Alu-Farben Portos;0
P.RoPanz;Port. Panz. Standard;0
P1F;PortosARK i-we a-frb;13
PPVC1;Port.PVC beidseitig;21
