AP;PFM;Portos Funkmotoren;KRH-150;;Kurbelstange 150 cm für NHK;49;St;;0;0
AP;PFM;Portos Funkmotoren;S-40/10 R;;Funkmotoren 40/10 für Stahlwelle Ø 40;223;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/08 R;;Funkmotoren 60/08 für Stahlwelle Ø 60;228;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/1,3 NHK R;;Funkmotoren 60/1 3 NHK für Stahlwelle Ø 60 mit Nothandkurbelbedienung;281;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/1,3 R;;Funkmotoren 60/1 3 für Stahlwelle Ø 60;233;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/1,3NHK;;Motor 60/1 3 NHK für Stahlwelle Ø 60 mit Nothandkurbelbedienung;186;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/2 NHK;;Motor 60/2 NHK für Stahlwelle Ø 60 mit Nothandkurbelbedienung;193;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/2 NHK R;;Funkmotoren 60/2 NHK für Stahlwelle Ø 60 mit Nothandkurbelbedienung;291;St;;0;0
AP;PFM;Portos Funkmotoren;S-60/2 R;;Funkmotoren 60/2 für Stahlwelle Ø 60;241;St;;0;0
AP;PFM;Portos Funkmotoren;TZU;;Öse für Antrieb NHK (Länge 17 cm);49;St;;0;0
AP;PFM;Portos Funkmotoren;ZM-SKK;;Kastenschloss mit Schlüssel für NHK (für Aussenrollladen Aluminium  Kasten 205 mm);26;St;;0;0
AP;RDM;Rollladendämmungen;RDM 13mm;;RDM 13mm;43;m;;0;0
AP;RDM;Rollladendämmungen;RDM 25-40mm;;RDM 25-40mm;43;m;;0;0
