"Maingroup";"Subgroup";"Subgroup Description";"Article code";"Color (remove ')";"Article Description";"Sales price";"Inside";"Outside";"Both sides"
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne208";"";"4/14/4/14/4 Stopsol Blau";221;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne301";"";"4/20/4/20/4 Antisol Braun";92;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne302";"";"4/20/4/20/4 Antisol Grau";92;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne303";"";"4/20/4/20/4 Antisol Grün";92;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne304";"";"4/20/4/20/4 Antisol Blau";138;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne305";"";"4/20/4/20/4 Stopsol Braun";169;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne306";"";"4/20/4/20/4 Stopsol Grau";169;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne307";"";"4/20/4/20/4 Stopsol Grün";169;no;no;yes
"Gls";"Gl5";"Sonnenschutzglaeser";"Sonne308";"";"4/20/4/20/4 Stopsol Blau";221;no;no;yes
"Gls";"Gl6";"Selbstreinigende Glaeser";"Selbst001";"";"4/16/4 Selbstreinigendes Glas Activ 4 mm";79;no;no;yes
"Gls";"Gl6";"Selbstreinigende Glaeser";"Selbst002";"";"6/14/4 Selbstreinigendes Glas Activ 6 mm";121;no;no;yes
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG001";"";"24mm ESG 4mm aussen";72;no;yes;no
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG002";"";"24mm ESG 4mm beidseitig";106;no;no;yes
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG003";"";"24mm ESG 4mm innen";72;yes;no;no
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG013";"";"44mm ESG 4mm aussen";110;no;yes;no
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG014";"";"44mm ESG 4mm beidseitig";146;no;no;yes
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG015";"";"44mm ESG 4mm innen";110;yes;no;no
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG023";"";"48mm ESG 4mm aussen";110;no;yes;no
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG024";"";"48mm ESG 4mm beidseitig";146;no;no;yes
"Gls";"GL7";"Einbruch Sicherheitsglaeser";"VSG025";"";"48mm ESG 4mm innen";110;yes;no;no
"Gls";"Gls";"Glas";"ohne Glas";"";"";0;no;no;yes
"Gls";"Gls";"Glas";"_Glas";"";"";0;no;no;yes
"Gls";"Gls";"Glas";"_Sun-Glass";"";"";0;no;no;yes
