Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000
1900;393,12;405,60;418,86;431,34;445,38;468,00;479,70;492,18;492,18
2000;408,72;421,20;434,46;447,72;462,54;485,16;497,64;510,12;510,12
2100;420,42;432,90;448,50;460,98;475,80;499,20;512,46;525,72;525,72
2200;438,36;452,40;467,22;481,26;496,08;519,48;532,74;546,00;546,00
2300;450,06;464,10;480,48;493,74;510,12;533,52;547,56;561,60;561,60
2400;450,06;464,10;480,48;493,74;510,12;533,52;547,56;561,60;561,60
