Höhe   ;1200;1300;1400;1500;1600;1700;1800;1900;2000
1900;326,82;338,52;351,78;364,26;376,74;395,46;407,16;419,64;419,64
2000;340,08;352,56;365,82;379,08;391,56;410,28;423,54;435,24;435,24
2100;351,00;364,26;379,08;391,56;404,82;424,32;437,58;450,84;450,84
2200;366,60;379,86;395,46;407,94;421,20;441,48;454,74;468,78;468,78
2300;378,30;391,56;407,16;421,20;435,24;455,52;468,78;482,82;482,82
2400;378,30;391,56;407,16;421,20;435,24;455,52;468,78;482,82;482,82
