Höhe   ;500;550;600;650;700;750;800;850;900;950;1000
500;156.1936098;164.5877802;172.9819506;181.376121;184.5239349;190.8195627;197.1151905;202.361547;210.7557174;213.9035313;226.4947869
550;164.5877802;171.9326793;179.2775784;186.6224775;190.8195627;197.1151905;203.4108183;208.6571748;217.0513452;221.2484304;232.7904147
600;172.9819506;179.2775784;185.5732062;191.868834;197.1151905;203.4108183;209.7064461;214.9528026;223.346973;228.5933295;239.0860425
650;181.376121;186.6224775;191.868834;197.1151905;203.4108183;209.7064461;216.0020739;221.2484304;229.6426008;235.9382286;245.3816703
700;184.5239349;190.8195627;197.1151905;203.4108183;209.7064461;214.9528026;221.2484304;227.5440582;235.9382286;242.2338564;251.6772981
750;189.8195627;196.1151905;202.4108183;208.7064461;213.9528026;220.2484304;226.5440582;232.839686;241.2338564;247.5294842;258.0221972
800;192.9673766;200.3122757;207.6571748;215.0020739;220.2484304;226.5440582;233.8889573;240.1845851;248.5787555;254.8743833;265.3670963
850;201.361547;207.6571748;213.9528026;220.2484304;226.5440582;232.839686;240.1845851;246.4802129;254.8743833;261.1700111;272.7119954
900;209.7557174;216.0513452;222.346973;228.6426008;235.9874999;242.2831277;248.5787555;255.9236546;264.317825;270.6134528;282.1554371
950;216.0513452;222.346973;228.6426008;234.9382286;241.2338564;248.5787555;254.8743833;262.2192824;270.6134528;277.9583519;288.4510649
1000;218.1991591;225.5440582;232.8889573;240.2338564;246.5294842;253.8743833;261.2192824;267.5149102;276.9583519;283.2539797;294.795964
1050;224.4947869;231.839686;239.1845851;246.5294842;252.825112;260.1700111;267.5149102;274.8598093;283.2539797;290.5988788;302.1408631
1100;229.7411434;237.0860425;244.4309416;251.7758407;259.1207398;266.4656389;273.810538;281.1554371;290.5988788;296.8945066;308.4364909
1150;239.1845851;246.5294842;253.8743833;261.2192824;268.5641815;275.9090806;283.2539797;290.5988788;300.0423205;307.3872196;318.9292039
1200;242.332399;250.7265694;259.1207398;267.5149102;274.8598093;282.2047084;289.5496075;296.8945066;306.3379483;313.6828474;326.274103
1250;249.7265694;257.0714685;264.4163676;271.7612667;279.1061658;287.5003362;294.8452353;302.1901344;312.6828474;320.0277465;331.5697308
1300;253.58389056;260.85883824;268.13378592;275.4087336;282.68368128;290.9979072;298.27285488;306.5870808;315.94058496;323.21553264;335.68687152
1350;260.85883824;269.17306416;277.48729008;285.801516;293.07646368;301.3906896;308.66563728;316.9798632;326.33336736;334.64759328;347.11893216
1400;267.09450768;275.4087336;283.72295952;292.03718544;299.31213312;307.62635904;314.90130672;323.21553264;333.60831504;341.92254096;353.3546016
1450;272.29089888;280.6051248;288.91935072;297.23357664;305.54780256;313.86202848;322.1762544;330.49048032;339.84398448;348.1582104;360.62954928
1500;280.6051248;288.91935072;297.23357664;305.54780256;312.82275024;321.13697616;329.45120208;337.765428;348.1582104;356.47243632;368.9437752
1550;285.801516;294.11574192;302.42996784;310.74419376;319.05841968;327.3726456;335.68687152;345.04037568;355.43315808;363.747384;376.21872288
1600;293.07646368;301.3906896;309.70491552;318.01914144;326.33336736;334.64759328;344.00109744;352.31532336;362.70810576;371.02233168;383.49367056
1650;296.1942984;305.54780256;314.90130672;324.25481088;332.5690368;340.88326272;350.23676688;358.5509928;368.9437752;378.29727936;390.76861824
1700;304.50852432;312.82275024;321.13697616;329.45120208;338.80470624;347.11893216;356.47243632;364.78666224;376.21872288;384.5329488;398.04356592
1750;307.62635904;316.9798632;326.33336736;335.68687152;344.00109744;353.3546016;362.70810576;372.06160992;382.45439232;391.80789648;405.3185136
1800;311.86202848;321.21553264;330.5690368;339.92254096;348.23676688;357.59027104;366.9437752;376.29727936;386.69006176;396.04356592;409.55418304
1850;318.09769792;327.45120208;336.80470624;346.1582104;354.47243632;363.82594048;373.17944464;382.5329488;393.96500944;403.3185136;416.82913072
1900;327.49048032;336.84398448;346.19748864;355.5509928;364.90449696;374.25800112;383.61150528;392.96500944;404.39707008;413.75057424;427.26119136
1950;330.60831504;341.00109744;351.39387984;361.78666224;371.1401664;380.49367056;389.84717472;399.20067888;410.63273952;421.02552192;434.53613904
2000;335.5033155504;344.7632846688;354.0232537872;363.2832229056;372.543192024;382.8320466;392.0920157184;402.3808702944;413.698610328;422.9585794464;437.3629758528
2050;344.7921701264;354.0521392448;363.3121083632;372.5720774816;381.8320466;392.120901176;401.3808702944;411.6697248704;422.987464904;433.27631948;446.6518304288
2100;347.8788264992;358.1676810752;368.4565356512;378.7453902272;388.0053593456;398.2942139216;407.55418304;417.843037616;430.1896631072;439.4496322256;453.854028632
2150;354.0521392448;364.3409938208;374.6298483968;384.9187029728;394.1786720912;404.4675266672;414.7563812432;424.0163503616;436.3629758528;446.6518304288;461.0562268352
2200;358.1965665328;368.4854211088;378.7742756848;389.0631302608;399.3519848368;409.6408394128;419.9296939888;430.2185485648;441.5362885984;451.8251431744;466.2295395808
2250;363.3409938208;373.6298483968;383.9187029728;394.2075575488;405.5252975824;415.8141521584;426.1030067344;437.420746768;447.709601344;457.99845592;472.4028523264
2300;368.4854211088;378.7742756848;389.0631302608;399.3519848368;411.698610328;421.987464904;432.27631948;444.6229449712;453.8829140896;464.1717686656;478.576165072
