Höhe   ;700;800;900;1000
1900;231,08;249,60;263,90;263,90
2000;239,53;259,03;273,98;273,98
2100;246,68;266,18;281,78;281,78
2200;256,10;276,90;293,48;293,48
2300;263,90;284,70;300,30;300,30
2400;263,90;284,70;300,30;300,30
