Höhe;;;;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500
2000;470,90;489,30;509,20;548,90;565,90;590,00;633,00;681,00;698,00;717,00;745,00;801,00;831,00;861,00;890,00;920,00;;;
2100;492,10;512,00;531,90;573,00;591,40;615,50;660,00;708,00;727,00;746,00;775,00;831,00;861,00;890,00;920,00;950,00;;;
2200;514,80;534,70;554,50;595,70;615,50;641,10;686,00;735,00;754,00;774,00;803,00;861,00;890,00;920,00;950,00;980,00;;;
2300;536,10;556,00;578,70;619,80;639,60;666,60;711,00;761,00;782,00;802,00;831,00;890,00;920,00;950,00;980,00;1010,00;;;
2400;557,40;578,70;601,40;643,90;665,20;690,70;737,00;788,00;809,00;831,00;861,00;920,00;950,00;980,00;1010,00;1040,00;;;
