Höhe   ;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400
600;102,18;108,42;118,56;124,80;131,82;143,52;149,76;156,78;166,92;173,16;180,96;187,20;197,34;204,36;210,60;217,62;223,86;230,88;230,88
700;108,42;115,44;125,58;133,38;139,62;152,10;159,12;166,14;177,06;184,08;191,88;198,90;209,04;216,84;223,86;230,10;237,12;244,14;244,14
800;128,70;136,50;146,64;154,44;161,46;173,16;182,52;190,32;198,12;205,14;215,28;222,30;230,10;237,12;248,04;255,84;263,64;270,66;270,66
900;135,72;143,52;154,44;161,46;169,26;181,74;191,88;199,68;207,48;215,28;226,20;234,00;241,80;248,82;260,52;269,10;276,90;284,70;284,70
1000;141,96;150,54;161,46;169,26;177,84;190,32;201,24;209,04;217,62;226,20;237,12;244,92;252,72;261,30;273,78;281,58;290,16;297,96;297,96
1100;148,98;156,78;168,48;177,06;186,42;198,90;209,82;218,40;227,76;236,34;248,04;255,84;264,42;273,78;286,26;294,84;303,42;312,00;312,00
1200;148,98;156,78;168,48;177,06;186,42;198,90;209,82;218,40;227,76;236,34;248,04;255,84;264,42;273,78;286,26;294,84;303,42;312,00;312,00
