Höhe   ;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900;1950;2000
1500;173.1224;178.9436;184.7648;190.586;197.3774;204.1688;209.99;216.7814;222.6026;229.394;236.1854;242.0066;248.798;254.6192;261.4106;268.202;274.0232;280.8146;287.606;293.4272;300.2186;306.0398;312.8312;319.6226;325.4438;332.2352;338.0564;344.8478;351.6392;358.4306;365.222
1550;175.0628;181.8542;188.6456;195.437;201.2582;208.0496;214.841;221.6324;227.4536;234.245;241.0364;247.8278;253.649;260.4404;267.2318;274.0232;279.8444;286.6358;293.4272;300.2186;306.0398;312.8312;319.6226;326.414;332.2352;339.0266;345.818;352.6094;358.4306;364.8986;371.2049
1600;178.9436;185.735;192.5264;199.3178;206.1092;212.9006;219.692;225.5132;232.3046;239.096;245.8874;252.6788;259.4702;266.2616;273.053;279.8444;285.6656;292.457;299.2484;306.0398;312.8312;319.6226;326.414;333.2054;339.9968;345.818;352.6094;359.4008;366.1922;372.9836;379.775
1650;182.8244;189.6158;196.4072;203.1986;209.99;216.7814;223.5728;230.3642;237.1556;243.947;250.7384;257.5298;264.3212;271.1126;277.904;285.6656;292.457;299.2484;306.0398;312.8312;319.6226;326.414;333.2054;339.9968;346.7882;353.5796;360.371;367.1624;373.9538;380.7452;387.5366
1700;184.7648;192.5264;200.288;208.0496;214.841;221.6324;228.4238;235.2152;242.0066;249.7682;256.5596;263.351;270.1424;276.9338;283.7252;290.5166;298.2782;305.0696;311.861;318.6524;325.4438;332.2352;339.9968;346.7882;353.5796;360.371;367.1624;373.9538;381.7154;388.8302;396.1067
1750;191.5562;198.3476;205.139;211.9304;218.7218;225.5132;233.2748;240.0662;246.8576;254.6192;261.4106;268.202;275.9636;282.755;289.5464;296.3378;304.0994;310.8908;317.6822;325.4438;332.2352;339.0266;345.818;353.5796;360.371;367.1624;374.924;381.7154;388.5068;395.2982;402.0896
1800;193.64213;200.365616;207.089102;213.812588;221.496572;228.220058;234.943544;242.627528;249.351014;257.034998;263.758484;271.442468;278.165954;284.88944;292.573424;299.29691;306.980894;313.70438;321.388364;328.11185;335.795834;342.51932;349.242806;356.92679;363.650276;371.33426;378.057746;385.74173;392.465216;399.829034;407.032769
1850;197.484122;204.207608;210.931094;217.65458;225.338564;233.022548;239.746034;247.430018;254.153504;261.837488;268.560974;276.244958;283.928942;290.652428;298.336412;305.059898;312.743882;319.467368;327.151352;334.835336;341.558822;349.242806;355.966292;363.650276;370.373762;378.057746;385.74173;392.465216;400.1492;407.192852;414.396587
1900;199.405118;207.089102;214.773086;222.45707;230.141054;236.86454;244.548524;252.232508;258.955994;266.639978;274.323962;281.047448;288.731432;296.415416;304.0994;310.822886;318.50687;326.190854;332.91434;340.598324;348.282308;355.005794;362.689778;370.373762;378.057746;384.781232;392.465216;400.1492;406.872686;414.236504;421.440239
1950;203.24711;210.931094;218.615078;226.299062;233.983046;241.66703;249.351014;256.0745;263.758484;271.442468;279.126452;286.810436;294.49442;302.178404;308.90189;316.585874;324.269858;331.953842;339.637826;347.32181;354.045296;361.72928;369.413264;377.097248;384.781232;392.465216;399.188702;406.872686;414.55667;422.240654;429.924638
2000;207.089102;214.773086;222.45707;230.141054;237.825038;245.509022;253.193006;260.87699;268.560974;276.244958;283.928942;291.612926;299.29691;306.980894;314.664878;322.348862;330.032846;337.71683;345.400814;353.084798;360.768782;368.452766;376.13675;383.820734;391.504718;399.188702;406.872686;414.55667;422.240654;429.924638;437.608622
2050;211.891592;219.575576;227.25956;234.943544;242.627528;250.311512;257.995496;265.67948;273.363464;281.047448;289.69193;297.375914;305.059898;312.743882;320.427866;328.11185;335.795834;343.479818;351.163802;359.808284;367.492268;375.176252;382.860236;390.54422;398.228204;405.912188;413.596172;421.280156;429.924638;437.928788;446.093021
2100;215.733584;223.417568;231.101552;238.785536;246.46952;255.114002;262.797986;270.48197;278.165954;286.810436;294.49442;302.178404;309.862388;318.50687;326.190854;333.874838;341.558822;350.203304;357.887288;365.571272;373.255256;381.899738;389.583722;397.267706;404.95169;413.596172;421.280156;428.96414;436.648124;444.332108;452.016092
2150;219.575576;227.25956;234.943544;242.627528;251.27201;258.955994;267.600476;275.28446;282.968444;291.612926;299.29691;306.980894;315.625376;323.30936;331.953842;339.637826;347.32181;355.966292;363.650276;372.294758;379.978742;387.662726;396.307208;403.991192;411.675176;420.319658;428.003642;436.648124;444.332108;452.656424;460.820657
2200;221.496572;230.141054;238.785536;247.430018;255.114002;263.758484;271.442468;280.08695;287.770934;296.415416;304.0994;312.743882;320.427866;329.072348;336.756332;345.400814;354.045296;361.72928;370.373762;378.057746;386.702228;394.386212;403.030694;410.714678;419.35916;427.043144;435.687626;443.37161;452.016092;460.020242;468.184475
2250;223.417568;233.022548;242.627528;252.232508;258.955994;268.560974;275.28446;284.88944;292.573424;301.217906;308.90189;318.50687;325.230356;334.835336;341.558822;351.163802;360.768782;367.492268;377.097248;383.820734;393.425714;401.109698;409.75418;417.438164;427.043144;433.76663;443.37161;450.095096;459.700076;467.38406;475.548293
2300;225.338564;235.904042;246.46952;257.034998;262.797986;273.363464;279.126452;289.69193;297.375914;306.020396;313.70438;324.269858;330.032846;340.598324;346.361312;356.92679;367.492268;373.255256;383.820734;389.583722;400.1492;407.833184;416.477666;424.16165;434.727128;440.490116;451.055594;456.818582;467.38406;474.747878;482.912111
