Höhe   ;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900;1950;2000
500;258.087848;264.16484;270.241832;276.318824;280.370152;286.447144;292.524136;298.601128;304.67812;308.729448;317.844936;323.921928;329.99892;334.050248;340.12724;346.204232;352.281224;356.332552;359.975985536;368.0216928;374.055973248;380.090253696;394.170241408;408.25022912;422.330216832
550;275.305992;281.382984;287.459976;293.536968;298.601128;304.67812;310.755112;316.832104;322.909096;327.973256;336.075912;342.152904;348.229896;353.294056;359.371048;365.44804;371.525032;376.589192;380.090253696;388.13596096;394.170241408;400.204521856;414.284509568;428.36449728;442.444484992
600;292.524136;298.601128;304.67812;310.755112;316.832104;322.909096;328.986088;335.06308;341.140072;347.217064;354.306888;360.38388;366.460872;372.537864;378.614856;384.691848;390.76884;396.845832;400.204521856;408.25022912;414.284509568;420.318790016;434.398777728;448.47876544;462.558753152
650;309.74228;315.819272;321.896264;327.973256;335.06308;341.140072;347.217064;353.294056;359.371048;366.460872;372.537864;378.614856;384.691848;391.781672;397.858664;403.935656;410.012648;417.102472;420.318790016;428.36449728;434.398777728;440.433058176;454.513045888;468.5930336;482.673021312
700;317.844936;324.93476;332.024584;339.114408;345.1914;351.268392;358.358216;364.435208;370.5122;377.602024;383.679016;389.756008;396.845832;402.922824;408.999816;416.08964;422.166632;428.243624;432.387350912;440.433058176;446.467338624;453.50733248;467.587320192;481.667307904;495.747295616
750;331.011752;337.088744;343.165736;349.242728;356.332552;362.409544;369.499368;375.57636;382.666184;388.743176;395.833;401.909992;407.986984;415.076808;421.1538;428.243624;434.320616;441.41044;444.455911808;452.501619072;459.541612928;465.575893376;480.661594496;495.747295616;510.832996736
800;341.140072;347.217064;353.294056;359.371048;366.460872;373.550696;379.627688;386.717512;393.807336;399.884328;406.974152;413.051144;420.140968;426.21796;433.307784;440.397608;446.4746;453.564424;457.530186112;465.575893376;472.615887232;478.65016768;493.7358688;508.82156992;523.90727104
850;349.242728;356.332552;363.422376;370.5122;377.602024;383.679016;390.76884;397.858664;404.948488;411.02548;418.115304;425.205128;431.28212;438.371944;445.461768;452.551592;458.628584;465.718408;469.598747008;477.644454272;484.684448128;491.724441984;506.810143104;521.895844224;536.981545344
900;362.409544;369.499368;376.589192;383.679016;390.76884;396.845832;403.935656;411.02548;418.115304;425.205128;432.294952;438.371944;445.461768;452.551592;459.641416;466.73124;473.821064;480.910888;484.684448128;492.730155392;499.770149248;506.810143104;521.895844224;536.981545344;552.067246464
950;372.537864;379.627688;386.717512;393.807336;400.89716;407.986984;415.076808;422.166632;429.256456;436.34628;443.436104;450.525928;457.615752;464.705576;471.7954;478.885224;485.975048;493.064872;496.753009024;505.804429696;512.844423552;519.884417408;534.970118528;550.055819648;565.141520768
1000;382.666184;389.756008;396.845832;403.935656;412.038312;419.128136;426.21796;433.307784;440.397608;447.487432;455.590088;461.66708;469.769736;476.85956;483.949384;491.039208;498.129032;505.218856;509.827283328;518.878704;525.918697856;532.958691712;548.044392832;563.130093952;578.215795072
1050;390.76884;398.871496;406.974152;415.076808;422.166632;429.256456;437.359112;444.448936;451.53876;459.641416;466.73124;473.821064;480.910888;488.000712;496.103368;503.193192;510.283016;518.385672;521.895844224;530.947264896;537.987258752;546.032966016;561.118667136;576.204368256;591.290069376
1100;403.935656;411.02548;418.115304;425.205128;433.307784;440.397608;447.487432;455.590088;462.679912;470.782568;477.872392;484.962216;493.064872;500.154696;508.257352;515.347176;523.449832;530.539656;533.96440512;544.0215392;551.061533056;559.10724032;574.19294144;589.27864256;604.36434368
1150;415.076808;423.179464;431.28212;439.384776;446.4746;454.577256;461.66708;469.769736;477.872392;484.962216;493.064872;500.154696;508.257352;515.347176;523.449832;530.539656;538.642312;546.744968;550.055819648;559.10724032;567.152947584;575.198654848;590.284355968;605.370057088;620.455758208
1200;425.205128;433.307784;441.41044;449.513096;457.615752;465.718408;472.808232;480.910888;489.013544;496.103368;504.206024;511.295848;519.398504;527.50116;535.603816;542.69364;550.796296;558.898952;563.130093952;572.181514624;580.227221888;587.267215744;603.358630272;619.4500448;635.541459328
1250;436.34628;444.448936;452.551592;460.654248;467.744072;475.846728;483.949384;492.05204;500.154696;508.257352;515.347176;523.449832;531.552488;539.655144;547.7578;554.847624;562.95028;571.052936;575.198654848;585.255788928;592.295782784;600.341490048;616.432904576;632.524319104;648.615733632
1300;447.487432;455.590088;463.692744;471.7954;479.898056;488.000712;496.103368;504.206024;512.30868;520.411336;528.513992;536.616648;544.719304;552.82196;560.924616;569.027272;577.129928;585.232584;589.27864256;599.33577664;607.381483904;614.42147776;630.512892288;646.604306816;662.695721344
1350;459.641416;468.756904;477.872392;486.98788;495.090536;503.193192;511.295848;519.398504;527.50116;535.603816;544.719304;551.809128;559.911784;569.027272;577.129928;585.232584;593.33524;601.437896;604.18185536;614.21871296;622.24819904;630.27768512;646.33665728;662.39562944;678.4546016
1400;471.88729;479.97361;488.05993;496.14625;504.23257;512.31889;521.416;529.50232;537.58864;546.68575;554.77207;562.85839;570.94471;579.03103;588.12814;596.21446;604.30078;612.3871;617.22977024;627.26662784;635.29611392;643.3256;659.38457216;675.44354432;691.50251648
1450;481.99519;490.08151;498.16783;506.25415;515.35126;523.43758;532.53469;540.62101;548.70733;557.80444;565.89076;573.97708;583.07419;591.16051;599.24683;608.34394;616.43026;625.52737;629.27399936;639.31085696;648.3440288;656.37351488;672.43248704;688.4914592;704.55043136
