Höhe   ;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900
1650;497.557076;505.833764;514.110452;522.38714;531.698414;539.975102;549.286376;557.563064;565.839752;575.151026;583.427714;591.704402;601.015676;609.292364;618.603638;626.880326;635.157014;644.468288;649.641218;661.021664;669.298352;678.609626;695.163002
1700;504.799178;514.110452;523.421726;532.733;541.009688;550.320962;558.59765;567.908924;576.185612;585.496886;594.80816;603.084848;611.361536;620.67281;629.984084;638.260772;646.53746;655.848734;662.05625;672.40211;681.713384;689.990072;707.578034
1750;514.110452;523.421726;532.733;542.044274;551.355548;559.632236;568.94351;578.254784;587.566058;595.842746;605.15402;613.430708;622.741982;632.053256;640.329944;649.641218;658.952492;668.263766;673.436696;684.817142;694.128416;702.405104;719.993066
1800;526.525484;534.802172;543.07886;551.355548;560.666822;569.978096;579.28937;588.600644;597.911918;606.188606;615.49988;624.811154;634.122428;643.433702;651.71039;661.021664;670.332938;679.644212;684.817142;695.163002;704.474276;713.78555;731.373512
1850;533.767586;543.07886;552.390134;561.701408;571.012682;580.323956;589.63523;598.946504;608.257778;617.569052;626.880326;635.157014;644.468288;653.779562;663.090836;672.40211;681.713384;691.024658;696.197588;707.578034;716.889308;726.200582;743.788544
1900;535.836758;545.148032;554.459306;563.77058;573.081854;582.393128;591.704402;602.050262;611.361536;620.67281;629.984084;639.295358;648.606632;657.917906;667.22918;676.540454;685.851728;695.163002;703.43969;713.78555;724.13141;733.442684;751.030646
1950;545.148032;554.459306;563.77058;573.081854;583.427714;592.738988;602.050262;611.361536;621.707396;631.01867;640.329944;649.641218;658.952492;669.298352;678.609626;687.9209;697.232174;707.578034;714.820136;726.200582;735.511856;745.857716;763.445678
2000;552.390134;562.735994;573.081854;583.427714;592.738988;603.084848;612.396122;621.707396;632.053256;641.36453;651.71039;661.021664;670.332938;679.644212;689.990072;699.301346;708.61262;718.95848;726.200582;738.615614;747.926888;757.238162;775.86071
2050;568.94351;578.254784;587.566058;596.877332;607.223192;616.534466;626.880326;636.1916;646.53746;655.848734;666.194594;675.505868;685.851728;695.163002;705.508862;714.820136;724.13141;734.47727;740.684786;752.065232;762.411092;771.722366;790.344914
2100;576.185612;586.531472;596.877332;607.223192;616.534466;626.880326;637.226186;646.53746;656.88332;667.22918;676.540454;686.886314;696.197588;706.543448;716.889308;726.200582;735.511856;746.892302;752.065232;764.480264;773.791538;784.137398;802.759946
2150;583.427714;593.773574;604.119434;614.465294;624.811154;635.157014;644.468288;654.814148;665.160008;675.505868;685.851728;695.163002;705.508862;715.854722;725.165996;735.511856;745.857716;756.203576;764.480264;775.86071;786.20657;796.55243;815.174978
2200;592.738988;603.084848;613.430708;623.776568;634.122428;644.468288;654.814148;665.160008;675.505868;685.851728;696.197588;706.543448;716.889308;726.200582;736.546442;746.892302;757.238162;767.584022;775.86071;788.275742;798.621602;808.967462;827.59001
2250;602.050262;612.396122;622.741982;633.087842;643.433702;653.779562;665.160008;675.505868;685.851728;696.197588;706.543448;717.923894;728.269754;736.546442;747.926888;758.272748;768.618608;778.964468;787.241156;800.690774;811.036634;821.382494;840.005042
2300;611.361536;621.707396;632.053256;642.399116;652.744976;663.090836;675.505868;685.851728;696.197588;706.543448;716.889308;729.30434;739.6502;746.892302;759.307334;769.653194;779.999054;790.344914;798.621602;813.105806;823.451666;833.797526;852.420074
