Höhe   ;700;800;900;1000
1900;216,84;235,56;248,04;248,04
2000;225,42;244,14;257,40;257,40
2100;232,44;251,94;265,20;265,20
2200;242,58;262,86;276,12;276,12
2300;249,60;269,88;284,70;284,70
2400;249,60;269,88;284,70;284,70
