Höhe   ;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
1900;561,5625;573125;584,6875;596,25;607,8125;619375;630,9375;642,8125;654375;665,3125;665,3125
2000;585625;597,5;609,0625;620625;632,1875;643,4375;655,3125;666875;678,4375;690,3125;690,3125
2100;599375;612,1875;625;637,8125;650625;663,4375;676,25;687,8125;700,3125;712,8125;712,8125
2200;617,5;631,5625;645625;659,6875;673,75;687,8125;701875;715,3125;727,8125;740;740
2300;646875;659,6875;672,5;685,3125;698125;710,9375;723,75;737,1875;750,3125;762,8125;762,8125
2400;646875;659,6875;672,5;685,3125;698125;710,9375;723,75;737,1875;750,3125;762,8125;762,8125
